Easting,Northing,SampleID,species,Elev,blockid,coords.x1,coords.x2
371050.1333,3967194.457,BAN01,,,4,-106.4278301796,35.8404616143
373560.1374,3967524.463,BAN02,,,7,-106.4000973215,35.8437630907
384590.1237,3962094.448,BAN05,,,27,-106.2772039359,35.7961780042
384570.1239,3962134.449,BAN06,,,27,-106.2774309904,35.7965362222
371730.1353,3968724.465,BAN07,,,6,-106.4205487323,35.8543413978
371740.1353,3968694.465,BAN08,,,6,-106.4204331919,35.8540723054
372873.1365,3967694.463,BAN09,,,4,-106.4077296661,35.8452065115
376956.1381,3965824.46,BAN101,,,10,-106.3622402831,35.8288721011
376968.138,3965800.46,BAN102,,,10,-106.3621037664,35.8286572792
376941.138,3965813.46,BAN103,,,10,-106.3624046147,35.8287710688
376909.1382,3965896.46,BAN104,,,10,-106.3627715929,35.8295151852
376920.1382,3965900.46,BAN105,,,10,-106.3626504563,35.8295526205
376797.1381,3965889.46,BAN106,,,10,-106.3640101807,35.829438025
376790.1381,3965899.46,BAN107,,,10,-106.3640892026,35.8295272819
376776.138,3965876.46,BAN108,,,10,-106.3642406131,35.8293182091
376785.138,3965857.46,BAN109,,,10,-106.3641380658,35.8291480808
373820.1341,3965144.452,BAN11,,,9,-106.3968429724,35.8223443494
373160.1343,3965624.453,BAN12,,,9,-106.4042235931,35.8265857129
384810.1196,3961424.444,BAN13,,,27,-106.2746733813,35.7901644117
385000.1191,3961364.444,BAN14,,,27,-106.272562718,35.789645838
384680.1216,3961754.446,BAN15,,,27,-106.2761591652,35.7931237976
383880.1241,3962104.448,BAN16,,,27,-106.2850609579,35.796184429
383730.1246,3962184.448,BAN17,,,27,-106.2867322073,35.7968877947
383940.1207,3961514.444,BAN19,,,27,-106.2843115489,35.7908732369
376300.1384,3966214.461,BAN20,,,9,-106.3695615289,35.8323048925
372736.136,3967484.461,BAN201,,,4,-106.4092128289,35.8432958903
372790.1361,3967492.462,BAN202,,,4,-106.4086163148,35.8433750169
372813.1362,3967552.462,BAN203,,,4,-106.4083712624,35.8439188086
372820.1362,3967562.462,BAN204,,,4,-106.4082953644,35.8440098514
372786.1362,3967586.462,BAN205,,,4,-106.4086755789,35.8442217617
372838.1364,3967640.462,BAN206,,,4,-106.4081085268,35.8447152358
372902.1363,3967509.462,BAN207,,,4,-106.407379161,35.8435427753
372869.1364,3967647.462,BAN208,,,4,-106.4077664609,35.8447823515
